"A_procjust","A_interjust","A_orgjust","A_genatrct","A_intpurs","A_prest","A_orgatrct","A_compete","A_socresp","A_support","A_innovate","B_procjust","B_interjust","B_orgjust","B_genatrct","B_intpurs","B_prest","B_orgatrct","B_compete","B_socresp","B_support","B_innovate","id"
4.22,4.67,4.44,3.2,4.4,4.2,3.93,4,4,4.75,3.75,4.11,3.33,3.72,2.8,4,4.6,3.8,4.75,4.5,4,4,104
2.89,2.22,2.56,2.8,2.4,2.8,2.67,2.5,2.5,1.75,2.25,NA,4.78,NA,3.6,4.6,4.4,4.2,3.75,4.25,4,3.25,105
3.33,2.89,3.11,3,4,4,3.67,4.25,3.75,4.25,4.25,3.33,4.33,3.83,3.4,4.2,4,3.87,2.25,2.5,4,2.5,106
3.78,3.33,3.55,3.6,5,4.2,4.27,4.5,4.25,2.75,4.25,3.44,4.89,4.16,4.2,5,5,4.73,4.25,5,5,3.5,107
2.33,2,2.16,3,3,3.2,3.07,2.75,2.25,1.5,2.5,4,4.44,4.22,3.6,3.6,3.8,3.67,4,3.25,3,3.5,108
2.22,2.44,2.33,2.6,3.6,3.6,3.27,3.5,3,2,3.5,2.89,4.33,3.61,3.2,3.6,3.8,3.53,3,3.25,3,2.5,109
3.22,2.33,2.78,2.6,3.8,3.6,3.33,4,2.25,2,3.75,3.56,3.78,3.67,4.4,4.8,4.8,4.67,3.25,3.5,3.5,2.75,110
2.44,2.89,2.66,3.2,2.2,2.6,2.67,3.25,2.5,2.5,4,3.56,3.67,3.62,3.8,4.2,3.6,3.87,3.25,4.25,4,2.75,111
3.89,2.56,3.22,3.6,2.8,3,3.13,4.5,3.5,3,4.5,3.78,3.89,3.84,3.8,4.4,4.2,4.13,3.5,3.5,3.25,3,112
3.11,1.89,2.5,2.8,2,2.8,2.53,5,2.75,1.25,3.5,4.67,4.89,4.78,4.2,5,5,4.73,3.75,4.75,4.75,3,113
2.78,3.22,3,3.4,4,2.6,3.33,3.75,3.75,3.25,3,2.78,3.22,3,3,2.6,2.4,2.67,3.75,3.75,3.5,3.25,114
3.33,2.89,3.11,3.8,4.6,4.2,4.2,3.75,3.5,2.5,3.25,2.78,4.11,3.45,4,4.8,4.4,4.4,3.5,4.25,4.25,4,115
2.67,2.67,2.67,2.4,2.8,3.6,2.93,2.75,3,2.5,4,4,4.33,4.16,3.8,4.8,4.4,4.33,3.75,4,4,3.5,116
3.22,2.33,2.78,2.6,2.8,2.6,2.67,3.25,3,2.5,3.25,3.56,3.78,3.67,3.8,4.2,4.4,4.13,4,4.25,4.25,3.5,117
3,3.22,3.11,3.6,2.8,2.8,3.07,3,2.25,2.25,3.75,3.78,4.11,3.95,3.6,3.8,3.6,3.67,3,3,3,2.75,118
3.33,3.11,3.22,3.2,4,3.8,3.67,3.75,4,4,3.75,2.78,3.89,3.34,3.6,4,3.6,3.73,3.75,4,4,3.75,119
2,2.67,2.34,3.4,4.2,4.6,4.07,2,2.75,1.5,4.5,3.56,4.67,4.12,4.2,5,4.2,4.47,4.25,4.25,4.25,3.75,120
2.67,2.89,2.78,2.8,3,4,3.27,3.75,2.75,2,4,3.67,3.89,3.78,3.4,NA,3.8,NA,3.75,3.75,3.75,2.5,121
2.56,1.67,2.12,3.2,3.6,3.4,3.4,2.5,2.25,1.5,2.25,3.89,4.89,4.39,3.8,4.8,4.4,4.33,3.75,4,4.75,5,122
3.11,3.56,3.34,3,3.6,3,3.2,3.5,2.5,3.25,2.5,2.44,4.56,3.5,3.2,3.8,4,3.67,2.75,3.5,4,2.5,123
2.89,2.44,2.66,2.8,3,3.8,3.2,4.25,3,2.5,4.25,3.78,5,4.39,3.4,4,3.8,3.73,3.5,4.5,4,2.5,124
2.22,2.89,2.56,3.4,2.2,2.2,2.6,3,3.5,3.25,3,2.89,3.44,3.16,3.4,3.2,3.4,3.33,4.5,4,3.75,4.75,125
