"id","condition","AVI.id","procjust","interjust","orgjust","genatrct","intpurs","prest","orgatrct","compete","socresp","support","innovate"
103,"Traditional",0,4.33,4.78,4.56,4.4,4.8,4.6,4.6,4.5,4.75,4.5,3.75
104,"AVI",1,4.22,4.67,4.44,3.2,4.4,4.2,3.93,4,4,4.75,3.75
104,"Traditional",0,4.11,3.33,3.72,2.8,4,4.6,3.8,4.75,4.5,4,4
105,"AVI",1,2.89,2.22,2.56,2.8,2.4,2.8,2.67,2.5,2.5,1.75,2.25
105,"Traditional",0,NA,4.78,NA,3.6,4.6,4.4,4.2,3.75,4.25,4,3.25
106,"AVI",1,3.33,2.89,3.11,3,4,4,3.67,4.25,3.75,4.25,4.25
106,"Traditional",0,3.33,4.33,3.83,3.4,4.2,4,3.87,2.25,2.5,4,2.5
107,"AVI",1,3.78,3.33,3.55,3.6,5,4.2,4.27,4.5,4.25,2.75,4.25
107,"Traditional",0,3.44,4.89,4.16,4.2,5,5,4.73,4.25,5,5,3.5
108,"AVI",1,2.33,2,2.16,3,3,3.2,3.07,2.75,2.25,1.5,2.5
108,"Traditional",0,4,4.44,4.22,3.6,3.6,3.8,3.67,4,3.25,3,3.5
109,"AVI",1,2.22,2.44,2.33,2.6,3.6,3.6,3.27,3.5,3,2,3.5
109,"Traditional",0,2.89,4.33,3.61,3.2,3.6,3.8,3.53,3,3.25,3,2.5
110,"AVI",1,3.22,2.33,2.78,2.6,3.8,3.6,3.33,4,2.25,2,3.75
110,"Traditional",0,3.56,3.78,3.67,4.4,4.8,4.8,4.67,3.25,3.5,3.5,2.75
111,"AVI",1,2.44,2.89,2.66,3.2,2.2,2.6,2.67,3.25,2.5,2.5,4
111,"Traditional",0,3.56,3.67,3.62,3.8,4.2,3.6,3.87,3.25,4.25,4,2.75
112,"AVI",1,3.89,2.56,3.22,3.6,2.8,3,3.13,4.5,3.5,3,4.5
112,"Traditional",0,3.78,3.89,3.84,3.8,4.4,4.2,4.13,3.5,3.5,3.25,3
